target,arch,units,num_layers,dropout,lr,lookback,val_rmse_scaled,is_best,test_MAPE,test_RMSE,test_MAE,test_R2
COD,GRU,64,2,0.1,0.0001,4,0.22290780363259416,False,,,,
COD,GRU,64,2,0.2,0.0001,4,0.2229063362924678,False,,,,
COD,GRU,64,2,0.1,0.0001,8,0.22546797867905405,False,,,,
COD,GRU,64,2,0.2,0.0001,8,0.22546279915234987,False,,,,
COD,GRU,32,1,0.0,0.001,4,0.21987644695285152,True,42.910227632001614,6.2639920905688635,6.016497581235824,-0.4490192803123869
NH3N,LSTM,32,1,0.0,0.001,4,0.15652208337657414,False,,,,
NH3N,LSTM,32,1,0.0,0.001,8,0.15509276909472838,False,,,,
NH3N,LSTM,32,1,0.0,0.0001,4,0.177648513511421,False,,,,
NH3N,LSTM,32,1,0.0,0.0001,8,0.17823737013186286,False,,,,
NH3N,LSTM,32,2,0.1,0.001,4,0.15632877080918364,False,,,,
NH3N,LSTM,32,2,0.2,0.001,4,0.15632944566892307,False,,,,
NH3N,LSTM,32,2,0.1,0.001,8,0.15185402676305537,False,,,,
NH3N,LSTM,32,2,0.2,0.001,8,0.15190864686736702,False,,,,
NH3N,LSTM,32,2,0.1,0.0001,4,0.19266063323220703,False,,,,
NH3N,LSTM,32,2,0.2,0.0001,4,0.19295595257907028,False,,,,
NH3N,LSTM,32,2,0.1,0.0001,8,0.1869406865529721,False,,,,
NH3N,LSTM,32,2,0.2,0.0001,8,0.18720362286556805,False,,,,
NH3N,LSTM,64,1,0.0,0.001,4,0.15331455146997014,False,,,,
NH3N,LSTM,64,1,0.0,0.001,8,0.15454564911704513,False,,,,
NH3N,LSTM,64,1,0.0,0.0001,4,0.1751873716257954,False,,,,
NH3N,LSTM,64,1,0.0,0.0001,8,0.1767188055508878,False,,,,
NH3N,LSTM,64,2,0.1,0.001,4,0.15315356766601881,False,,,,
NH3N,LSTM,64,2,0.2,0.001,4,0.15335332770140347,False,,,,
NH3N,LSTM,64,2,0.1,0.001,8,0.16731478801113328,False,,,,
NH3N,LSTM,64,2,0.2,0.001,8,0.16711395553438924,False,,,,
NH3N,LSTM,64,2,0.1,0.0001,4,0.18325220886098784,False,,,,
NH3N,LSTM,64,2,0.2,0.0001,4,0.18358652303553522,False,,,,
NH3N,LSTM,64,2,0.1,0.0001,8,0.17160818283888163,False,,,,
NH3N,LSTM,64,2,0.2,0.0001,8,0.17114627110391803,False,,,,
NH3N,GRU,32,1,0.0,0.001,4,0.15707722887485376,False,,,,
NH3N,GRU,32,1,0.0,0.001,8,0.1526795686503599,False,,,,
NH3N,GRU,32,1,0.0,0.0001,4,0.18042168147941526,False,,,,
NH3N,GRU,32,1,0.0,0.0001,8,0.18104921104271893,False,,,,
NH3N,GRU,32,2,0.1,0.001,4,0.15110382154995,False,,,,
NH3N,GRU,32,2,0.2,0.001,4,0.1510562844163656,False,,,,
NH3N,GRU,32,2,0.1,0.001,8,0.15116011945966198,False,,,,
NH3N,GRU,32,2,0.2,0.001,8,0.1516793292343699,False,,,,
NH3N,GRU,32,2,0.1,0.0001,4,0.1810204141186624,False,,,,
NH3N,GRU,32,2,0.2,0.0001,4,0.1815535006205076,False,,,,
NH3N,GRU,32,2,0.1,0.0001,8,0.18861230932725764,False,,,,
NH3N,GRU,32,2,0.2,0.0001,8,0.18890133956257008,False,,,,
NH3N,GRU,64,1,0.0,0.001,4,0.15297589194796302,False,,,,
NH3N,GRU,64,1,0.0,0.001,8,0.15504776972249487,False,,,,
NH3N,GRU,64,1,0.0,0.0001,4,0.18637826472863517,False,,,,
NH3N,GRU,64,1,0.0,0.0001,8,0.18917594887069633,False,,,,
NH3N,GRU,64,2,0.1,0.001,4,0.15401964173754046,False,,,,
NH3N,GRU,64,2,0.2,0.001,4,0.1534120219806381,False,,,,
NH3N,GRU,64,2,0.1,0.001,8,0.15294653457470592,False,,,,
NH3N,GRU,64,2,0.2,0.001,8,0.15304429058406796,False,,,,
NH3N,GRU,64,2,0.1,0.0001,4,0.17723599617939753,False,,,,
NH3N,GRU,64,2,0.2,0.0001,4,0.17727838311448502,False,,,,
