target,model,MAPE,sMAPE,RMSE,MAE,R2,MASE,beats_naive
BOD,naive_persistence,34.736903588771156,30.40211070237439,1.3500298682478438,1.064516129032258,-0.0663622526636225,0.7115749525616698,1.0
BOD,seasonal_naive_52,69.74170283593033,50.64569738963994,2.5068454666270092,2.056451612903226,-2.6768264840182647,1.374633431085044,0.0
COD,naive_persistence,20.597741426335304,17.392503196674124,6.46664830670268,3.4838709677419355,-0.5442949353027715,0.5718763899773368,1.0
COD,seasonal_naive_52,28.38006155542963,24.151854500052213,8.062289006991628,4.673387096774194,-1.4004269116455021,0.767135111092284,1.0
NH3N,naive_persistence,33.24621484199902,21.888435079540425,2.5232787170407804,2.1774193548387095,0.3420833333333333,0.8185787048265825,1.0
NH3N,seasonal_naive_52,44.294480244793746,29.299969585329517,3.75,3.0403225806451615,-0.453125,1.1429784137763763,0.0
NO3N,naive_persistence,5.862459262728567,6.26583095509716,0.11760376338064323,0.04516129032258064,0.14270740949770233,0.1710654936461388,1.0
NO3N,seasonal_naive_52,5.217297972405986,6.628075034240615,0.1350776359799633,0.04596774193548386,-0.1309763766830605,0.17412023460410553,1.0
TSS,naive_persistence,51.391390867197316,43.410373633084106,1.5080429530975226,1.1290322580645162,0.26820693119035666,0.7628596338273759,1.0
TSS,seasonal_naive_52,82.49441418796259,61.45783852065685,3.6024745079799194,2.056451612903226,-3.176021262347229,1.3894943330427203,0.0
